name,price,description,sku,bottle_size,alcohol_vol,sugar_content,varietal,country,region,score,wine_type,group
Woodbridge By Robert Mondavi White Zinfandel,11.25,pale pink colour fresh berry aroma flavour soft offdry finish,249656,750,9.0,41.0,rose,USA,,,rose,LCBO
L'Orangeraie Rose Pays D'OC,12.0,salmon pink colour soft floral raspberry strawberry citrus aroma mineral note medium body dry berry citrus flavour moderate acidity clean finish,279661,750,12.5,6.0,rose,France,South of France,,rose,LCBO
Gallo Family Vineyards White Zinfandel,9.95,fruity surprisingly versatile white zin burst berry flavour first impression delightful salmonpink colour ripe strawberry table grape aroma palate expect balanced sweetness berry fruit flavour crisp finish serve tandoori chicken lamb kebab creamy pasta,285767,750,8.5,38.0,rose,USA,,,rose,LCBO
Cave Spring Dry Rosé VQA,15.95,light salmon pink colour strawberry sweet cherry berry aroma dry mediumbodied red berry flavour crisp acidity good finish,295006,750,12.5,8.0,rose,Canada,Ontario,,rose,LCBO
Batzella Bolgheri Rosato DOC PINKSY 2014,30.4,brilliant salmon colour bursting aroma raspberry cherry note white pepper tuscan rose worth discovering fresh fullbodied fragrant delightful sipped served pizza asian fare,307867,750,12.6,,cabernet sauvignon/syrah,Italy,Tuscany,,rose,LCBO
Carte Noire Rosé,19.95,blend grenache cinsault long customer favourite beloved zippy personality ripe red berry raspberry provencal garrigue tone delightful sipper pair beautifully smoked salmon,319384,750,13.5,3.0,rose,France,Provence,,rose,VINTAGES
Hex Vom Dasenstein Pinot Rosé Sekt Dry 2014,26.4,subtly creamy tickle effervescence tongue sparkling wine quenching character reveals soft pear juicy mandarin slight hint lemon great option greeting guest sharing lighter lunch,319565,750,12.0,,pinot noir,Germany,,,rose,LCBO
Pink House Wine Co. Rosé VQA,13.95,medium salmon orange hue colour note candied strawberry orange blossom red currant nose offdry medium body flavour strawberry sour cherry,324558,750,12.5,19.0,rose,Canada,Ontario,,rose,LCBO
Saale-Unstrut Dornfelder Rosé DQW Semi-Dry 2016,17.1,rose longer reserved summer sipping exhibit refined personality flavourful fit host light fare semidry option offer hint strawberry cherry almond blossom,334382,750,11.5,,rose,Germany,,,rose,LCBO
Trius Rosé VQA,17.95,pioneering ontario winery thirty year experience niagaraonthelake wine region fragrant blend gamay noir pinot gris syrah floral red fruit note dry mediumbodied strawberry cherry rhubarb flavour serve chilled lamb slider grilled vegetable vintage panel april,341743,750,12.1,7.0,rose,Canada,Ontario,,rose,LCBO
Gapsted Moscato Rosé 2016,15.6,touch sweetness elevates frizzante pink sipper aroma strawberry watermelon freshly crushed grape precede luscious ripe berry flavour sweet cinnamon spice inform palate wine lively sherbety spritz finish make well suited pairing sweet like fresh strawberry shortcake,350503,750,6.5,,rose,Australia,Victoria,,rose,LCBO
Tamaral Rosado Ribera del Duero 2015,18.05,fresh intense rosado made tempranillo expect lot juicy strawberry cherry melon uplifted floral note nice crisp finish one enjoy,353325,750,14.0,,tempranillo,Spain,,,rose,LCBO
Fazi Battaglia Verdicchio Dei Castelli Di Jesi DOC,11.95,winery long history making quality wine run th generation pale straw yellow colour fragrant aroma white flower green applepear citrus mineral note palate fresh clean slightly spritzy tangy acidity flavour nectarine lemongrapefruit zest mineral apple,24422,750,12.5,5.0,verdicchio,Italy,Marche,,white,LCBO
Flat Roof Manor Pinot Grigio,12.0,grown rocky hillside soil stellenbosch region south africa attractive floral pear citrus aroma followed first sip crisp green apple citrus flavour finish lively clean serve grilled fish seafood salad,27128,750,12.5,7.0,pinot grigio,South Africa,,,white,LCBO
Goose Bay Sauvignon Blanc KPM,25.5,gooseberry passion fruit grass lime grapefruit try trout,28134,750,13.0,7.0,sauvignon blanc,New Zealand,Marlborough,,white,VINTAGES
Ruffino Orvieto Classico,12.95,pale straw colour aroma citrus green apple fruit fragrant sweet floral mandarin note dry lightbodied smooth clean crisp palate show flavour apple citrus pear hint almond light spice finish,31062,750,12.0,12.0,blend,Italy,Umbria,,white,LCBO
Liebfraumilch Drathen Qualitatswein Rheinhessen,11.0,liebfraumilch semidry light white wine rhine region germany produced mostly export liebfraumilch name derives birthplace church lady monastery worm germany aroma flavour green apple blossom touch spice lead crisp finish pair curry dish,32631,1000,8.5,39.0,blend,Germany,Rheinhessen,,white,LCBO
La Vieille Ferme Luberon Blanc AOC,22.0,established jean pierre perrin french winemaking perrins applied know create value tier good quality wine label aroma green apple herb flavour pink grapefruit pear mineral zesty finish white shine enjoy roast chicken soft cheese,34991,1500,13.0,2.0,rhone,France,,,white,LCBO
Kim Crawford Sauvignon Blanc,19.95,set benchmark new zealand intensely flavourful style sauvignon blanc think gooseberry pea pod passion fruit vivid refreshing pair well steamed clam mussel asparagus risotto grilled chicken,35386,750,13.5,4.0,sauvignon blanc,New Zealand,Marlborough,,white,VINTAGES
Vineland Estates Elevation St. Urban Vineyard Riesling,19.95,hermann wei brought vine nearly year age ontario weingut st urbanshof mosel flourished ancient seabornsoils niagara escarpment floral juicy lime peach apple refined mineral note july,38117,750,8.4,27.0,riesling,Canada,Ontario,,white,VINTAGES
Yalumba Samuel's Garden Collection Wild Ferment Chardonnay 2016,24.95,slightly smoky flinty hint pineapple grilled peach palate tart tangy note acid light finish drink score james suckling july,39271,750,13.5,2.0,chardonnay,Australia,South Australia,91.0,white,VINTAGES
Beringer Founders' Estate Pinot Grigio,17.45,one california earliest winery made fruit grown california delta vine thrive warm sunny day cool evening dry lightbodied fresh flavour lemon zest pear apricot finish balanced crisp serve wellchilled salad pasta grilled fish,45641,750,12.5,9.0,pinot grigio,USA,,,white,LCBO
Fontana Di Papa White,19.4,grape light refreshing wine grown volcanic soil hill southeast city rome delicate lightly fruity wine excels partner chicken fish light cuisine enjoy citrus herbal flavour soft minerally note finish,48140,2000,11.0,6.0,blend,Italy,Lazio,,white,LCBO
Jaffelin Bourgogne Aligote AOC,17.95,pale straw colour subtle aroma mineralcitrus anjou pear green apple dry light bodied clean applelemon flavour crisp acidity finish,53868,750,12.0,2.0,burgundy,France,Burgundy,,white,LCBO
Cave Spring Blanc de Blancs Brut Sparkling,29.95,cave spring seems main radar e traditional method sparkling wine perhaps excellence riesling overshadows whole portfolio yet quietly making finest bubble ontario latest bottling blanc de blanc continues streak deliverance marvellously plex plete creamy richly flavoured featuring fine mix whitefleshed orchard fruit gentle toastyautolytic character almond apple blossom price point overdelivers easily equalling much higherpriced traditional method sparkling wine score john szabo m dec,213983,750,12.0,8.0,sparkling,Canada,Ontario,92.0,sparkling,VINTAGES
Paul Delane Cremant De Bourgogne Reserve,21.05,clear straw colour fine mousse apple lemon lemon zest aroma fresh crisp apple nutty note flavour well balanced clean finish,214981,750,12.0,12.0,cremant,France,,,sparkling,LCBO
Codorniu Brut Clasico,14.6,family history going back codorniu forefront fine sparkling wine spain pale lemon colour fine mousse aroma baked apple lemon zest bready yeasty note background dry lively acidity flavour citrus baked apple,215814,750,11.5,11.0,cava,Spain,Penedès,,sparkling,LCBO
Mumm Cuvee Napa Brut Prestige,30.0,established california france leading international champagne brand brut prestige napa signature sparkling wine enjoy citrus apple stone fruit flavour followed note vanilla toast honey spice serve shellfish stuffed mushroom egg benedict,217273,750,13.0,12.0,sparkling,USA,California,,sparkling,LCBO
Brights President Dry Sparkling,10.95,pale straw colour appealing effervescence light floral aroma soft fruit flavour crisp dry finish,217315,750,12.0,19.0,sparkling,Canada,Ontario,,sparkling,LCBO
Henry Of Pelham Cuvée Catharine Rosé Brut VQA,32.95,pale salmon colour fine bead enticing aroma brioche wild strawberry lemon curd extra dry medium bodied flavour biscuit strawberry rhubarb pie fresh apple creamy textured mousse,217505,750,12.0,12.0,sparkling,Canada,Ontario,,sparkling,LCBO
Domaine Chandon Brut Classic,31.7,chandon harvest chardonnay pinot noir meunier grape level ripeness perfect great sparkling wine enjoy aroma flavour citrus ripe apple pear note toast mineral supported lively effervescence serve shellfish smoked salmon fine cheese,218032,750,12.0,11.0,sparkling,USA,California,,sparkling,LCBO
Pelee Island Secco VQA,14.95,pale straw colour small bubble apple pear peach aroma light body offdry fresh fruit flavour balanced acidity clean citrus finish,225946,750,11.5,18.0,sparkling,Canada,Ontario,,sparkling,LCBO
Angels Gate Archangel Brut Chardonnay 2013,29.95,first time angel gate archangel sparkling chardonnay appeared vintage shelf made appearance vintage event past u premiere lively plex apple lemon biscuit toast baked apple custard vanilla note lovely minerality long finish creamy fresh good purity throughout vintage panel nov,227009,750,11.0,8.0,sparkling,Canada,Ontario,,sparkling,VINTAGES
